VENEZIA CARPENEDO;S02672;Veneto;12;A;45.506697;12.247609
QUARTO D`ALTINO;S02670;Veneto;12;A;45.574576;12.365032
GAGGIO;S02671;Veneto;12;A;45.551893;12.326027
RIMINI VISERBA;S05820;Emilia Romagna;8;A;44.088407;12.533785
TORTONA;S01810;Piemonte;3;Tortona;44.900126;8.861777
LARINO;S09466;Molise;7;A;41.80015;14.918226
URURI ROTELLO;S09467;Molise;7;A;41.801134;14.953072
BONEFRO S.CROCE;S09464;Molise;7;A;41.710522;14.860799
CASACALENDA GUARDIALFIERA;S09465;Molise;7;A;41.738109;14.849602
SAN BENEDETTO SAMBRO-CAST.PEPOLI;S05134;Emilia Romagna;8;San Benedetto Sambro-Castiglione Pepoli;44.22866;11.19226
RIPABOTTONI S.ELIA;S09463;Molise;7;A;41.669666;14.844353
VAIANO;S05136;Toscana;13;A;43.961772;11.130773
MATRICE MONTAGANO;S09461;Molise;7;A;41.621321;14.699561
RASTIGNANO;S05138;Emilia Romagna;8;A;44.443592;11.357617
MUSIANO-PIAN DI MACINA;S05139;Emilia Romagna;8;A;44.402423;11.344912
S.MARTINO IN PENSILIS;S09468;Molise;7;A;41.877211;14.984218
GUGLIONESI PORTOCANNONE;S09469;Molise;7;A;41.932026;14.986368
TORRE DEL LAURO;S12053;Sicilia;14;A;38.041045;14.521179
VILLAFRANCA TIRRENA;S12050;Sicilia;14;Villafranca T.;38.233517;15.42892
PALERMO BRANCACCIO;S12055;Sicilia;14;A;38.093141;13.392508
SANTA LUCE;S06023;Toscana;13;A;43.437248;10.48971
ORCIANO;S06022;Toscana;13;A;43.500263;10.477566
FAUGLIA - LORENZANA;S06021;Toscana;13;A;43.551831;10.50304
CECINA;S06026;Toscana;13;Cecina;43.31028;10.514225
VADA;S06025;Toscana;13;Vada;43.352641;10.470376
CASTELLINA MARITTIMA;S06024;Toscana;13;A;43.406122;10.495776
FRASCATI;S08751;Lazio;5;Frascati;41.806881;12.677962
BOLGHERI;S06028;Toscana;13;A;43.244664;10.550548
CARRITO-ORTONA;S08533;Abruzzo;19;A;42.026506;13.720179
GORIZIA CENTRALE;S03304;Friuli Venezia Giulia;10;Gorizia;45.933047;13.60684
SAGRADO;S03307;Friuli Venezia Giulia;10;A;45.872629;13.484004
CERCHIO;S08530;Abruzzo;19;A;42.061082;13.597972
CAPRIVA;S03301;Friuli Venezia Giulia;10;A;45.938764;13.517494
CORMONS;S03300;Friuli Venezia Giulia;10;A;45.957519;13.461563
GORIANO SICOLI;S08535;Abruzzo;19;A;42.082698;13.78286
MOSSA;S03302;Friuli Venezia Giulia;10;A;45.935114;13.547281
NAPOLI S.GIOV.BARRA;S09800;Campania;18;A;40.831269;14.307811
PIETRARSA;S09801;Campania;18;A;40.822433;14.32058
SULMONA;S08539;Abruzzo;19;Sulmona;42.060836;13.907156
TORRE DEL GRECO;S09803;Campania;18;A;40.787631;14.363159
RONCHI DEI LEGIONARI NORD;S03309;Friuli Venezia Giulia;10;Ronchi Nord;45.830285;13.505962
REDIPUGLIA;S03308;Friuli Venezia Giulia;10;A;45.853476;13.486016
TORRE ANNUNZIATA CENTRALE;S09806;Campania;18;Torre A.Centrale;40.747131;14.463744
CASINO DI TERRA;S06751;Toscana;13;A;43.328581;10.662975
RIPARBELLA;S06750;Toscana;13;A;43.339461;10.582184
VOLTERRA SALINE - POMARANCE;S06753;Toscana;13;Volterra Saline;43.35962;10.808269
PONTE GINORI;S06752;Toscana;13;A;43.335594;10.740536
SILLAVENGO;S00978;Piemonte;3;A;45.521303;8.444987
COSSATO;S00973;Piemonte;3;A;45.564216;8.175964
CASALEGGIO;S00972;Piemonte;3;A;45.491298;8.490369
CARPIGNANO SESIA;S00971;Piemonte;3;A;45.528934;8.422898
BIELLA CHIAVAZZA;S00970;Piemonte;3;A;45.568084;8.066787
VIGLIANO CANDELO;S00977;Piemonte;3;A;45.557517;8.108475
NIBBIA;S00976;Piemonte;3;A;45.481363;8.557993
GHISLARENGO;S00974;Piemonte;3;A;45.526006;8.379453
SAIRANO;S00408;Lombardia;1;A;45.138858;9.046868
SANNAZZARO;S00403;Lombardia;1;A;45.10554;8.905149
PIEVE ALBIGNOLA;S00402;Lombardia;1;A;45.116248;8.959723
ZINASCO NUOVO;S00401;Lombardia;1;A;45.124555;8.999657
SAIRANO ZINASCO;S00400;Lombardia;1;A;45.133795;9.030153
MEDE;S00406;Lombardia;1;A;45.095009;8.742594
LOMELLO;S00405;Lombardia;1;A;45.117276;8.799121
FERRERA LOMELLINA;S00404;Lombardia;1;A;45.111807;8.862805
BISCEGLIE;S11113;Puglia;16;A;41.235445;16.499484
TRANI;S11112;Puglia;16;Trani;41.272693;16.417646
ROMA TIBURTINA PIAZZALE EST;S08226;Lazio;5;A;41.910903;12.530749
